,0-fox-news,1-fox-news,2-fox-news,3-the-new-york-times,4-the-new-york-times,5-al-jazeera-english,6-al-jazeera-english
0,5.26,0.0,2.56,2.56,8.11,2.56,0.0
1,0.0,0.0,0.0,0.0,2.56,2.56,0.0
2,0.0,0.0,2.56,0.0,0.0,0.0,0.0
3,0.0,2.56,2.56,0.0,0.0,2.56,2.56
4,0.0,0.0,2.56,0.0,0.0,0.0,0.0
5,0.0,0.0,5.26,5.26,0.0,2.56,2.56
6,2.56,5.26,11.11,5.26,2.56,8.11,2.56
7,2.56,2.56,0.0,2.56,8.11,2.56,0.0
8,0.0,0.0,0.0,2.56,0.0,0.0,0.0
9,2.56,0.0,2.56,0.0,0.0,5.26,2.56
10,5.26,0.0,0.0,2.56,2.56,2.56,0.0
11,2.56,11.11,11.11,0.0,2.56,2.56,0.0
12,0.0,2.56,2.56,0.0,5.26,0.0,0.0
13,0.0,5.26,8.11,2.56,2.56,2.56,0.0
14,0.0,5.26,5.26,2.56,0.0,0.0,0.0
15,2.56,0.0,0.0,2.56,2.56,0.0,0.0
16,2.56,5.26,5.26,2.56,2.56,8.11,0.0
17,0.0,2.56,2.56,0.0,0.0,2.56,5.26
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2.56,8.11,5.26,0.0,0.0,2.56,0.0
20,2.56,8.11,5.26,5.26,5.26,2.56,0.0
21,0.0,0.0,2.56,2.56,0.0,2.56,5.26
22,0.0,8.11,5.26,2.56,2.56,2.56,5.26
23,0.0,8.11,8.11,0.0,2.56,0.0,0.0
24,0.0,14.29,11.11,2.56,0.0,0.0,2.56
25,0.0,5.26,5.26,0.0,2.56,2.56,0.0
26,0.0,14.29,11.11,2.56,2.56,0.0,0.0
27,2.56,5.26,14.29,0.0,0.0,0.0,0.0
28,8.11,0.0,2.56,5.26,5.26,11.11,5.26
29,5.26,0.0,0.0,2.56,2.56,2.56,2.56
30,8.11,0.0,2.56,2.56,5.26,21.21,0.0
31,5.26,0.0,0.0,2.56,8.11,8.11,2.56
32,8.11,0.0,2.56,2.56,5.26,11.11,0.0
33,5.26,0.0,0.0,0.0,2.56,8.11,2.56
34,2.56,0.0,0.0,2.56,2.56,2.56,0.0
35,2.56,2.56,5.26,5.26,5.26,8.11,0.0
36,2.56,0.0,0.0,0.0,0.0,5.26,2.56
37,0.0,2.56,5.26,0.0,0.0,2.56,0.0
38,5.26,2.56,0.0,0.0,5.26,5.26,2.56
39,2.56,0.0,0.0,0.0,0.0,5.26,2.56
40,0.0,0.0,0.0,0.0,2.56,0.0,0.0
41,0.0,0.0,0.0,0.0,2.56,0.0,0.0
42,2.56,2.56,2.56,0.0,0.0,5.26,0.0
43,2.56,0.0,0.0,0.0,0.0,2.56,0.0
44,5.26,0.0,5.26,5.26,2.56,5.26,0.0
45,5.26,0.0,2.56,2.56,2.56,8.11,0.0
46,2.56,0.0,2.56,2.56,2.56,5.26,0.0
47,2.56,0.0,2.56,0.0,0.0,2.56,0.0
48,0.0,5.26,8.11,0.0,0.0,2.56,0.0
49,11.11,0.0,8.11,8.11,11.11,11.11,0.0
50,0.0,0.0,0.0,2.56,2.56,2.56,2.56
51,0.0,0.0,0.0,2.56,2.56,2.56,2.56
52,2.56,2.56,0.0,5.26,2.56,5.26,0.0
53,2.56,0.0,5.26,2.56,8.11,5.26,0.0
54,2.56,0.0,5.26,2.56,5.26,5.26,5.26
55,0.0,0.0,2.56,0.0,2.56,0.0,0.0
56,5.26,0.0,2.56,2.56,2.56,5.26,0.0
57,0.0,0.0,11.11,2.56,0.0,2.56,2.56
58,2.56,5.26,8.11,8.11,2.56,5.26,0.0
59,0.0,5.26,5.26,0.0,0.0,0.0,0.0
60,8.11,0.0,0.0,2.56,5.26,8.11,0.0
61,2.56,0.0,5.26,0.0,5.26,8.11,2.56
62,0.0,0.0,0.0,2.56,5.26,5.26,0.0
63,2.56,0.0,0.0,2.56,0.0,0.0,0.0
64,2.56,0.0,0.0,2.56,2.56,14.29,2.56
65,5.26,0.0,0.0,2.56,2.56,2.56,0.0
66,8.11,0.0,2.56,2.56,5.26,14.29,0.0
67,0.0,0.0,0.0,0.0,2.56,2.56,5.26
68,2.56,0.0,0.0,0.0,0.0,2.56,0.0
69,0.0,0.0,0.0,2.56,2.56,0.0,0.0
70,2.56,0.0,2.56,0.0,0.0,8.11,2.56
71,2.56,5.26,8.11,5.26,2.56,5.26,2.56
72,5.26,0.0,0.0,2.56,5.26,5.26,0.0
73,2.56,0.0,2.56,5.26,5.26,2.56,0.0
74,2.56,0.0,5.26,0.0,8.11,8.11,2.56
75,2.56,0.0,2.56,2.56,2.56,8.11,5.26
76,2.56,0.0,0.0,2.56,5.26,8.11,5.26
77,5.26,0.0,8.11,8.11,8.11,8.11,0.0
78,8.11,0.0,2.56,2.56,2.56,8.11,2.56
79,0.0,0.0,0.0,2.56,0.0,0.0,2.56
80,5.26,0.0,5.26,5.26,5.26,14.29,0.0
81,5.26,0.0,5.26,2.56,2.56,11.11,0.0
82,8.11,0.0,0.0,2.56,8.11,17.65,2.56
83,2.56,0.0,0.0,2.56,2.56,8.11,2.56
84,2.56,5.26,11.11,0.0,2.56,11.11,2.56
85,5.26,0.0,2.56,2.56,0.0,5.26,0.0
